canonical_agent_id,original_agent_id,employee_code,agent_name,vendor_id,team,status,confidence,resolution_reason
AGT0000136,AGT0000136,EMP00074,Rahul Verma,VND0000011,T2,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000975,AGT0000975,EMP00075,Sneha Das,VND0000006,FIELD,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000527,AGT0000527,EMP00076,Priya Mehta,VND0000003,T2,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000677,AGT0000677,EMP00077,Amit Kumar,VND0000011,DIGITAL,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000793,AGT0000793,EMP00078,Neha Singh,VND0000007,T1,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000927,AGT0000927,EMP00079,Rohan Patel,VND0000014,T3,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000292,AGT0000292,EMP00080,Priya Mehta,VND0000015,T3,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000267,AGT0000267,EMP00081,Sneha Das,VND0000006,FIELD,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000057,AGT0000057,EMP00082,Neha Singh,VND0000005,T2,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000993,AGT0000993,EMP00083,Sneha Das,VND0000008,T3,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000596,AGT0000596,EMP00084,Vikram Shah,VND0000006,DIGITAL,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000996,AGT0000996,EMP00085,Ananya Rao,VND0000014,FIELD,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000996,AGT0000996,EMP00086,Rahul Verma,VND0000001,DIGITAL,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000716,AGT0000716,EMP00087,Vikram Shah,VND0000014,FIELD,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000682,AGT0000682,EMP00088,Priya Mehta,VND0000014,T1,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000830,AGT0000830,EMP00089,Vikram Shah,VND0000007,DIGITAL,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000411,AGT0000411,EMP00090,Priya Mehta,VND0000007,T1,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000357,AGT0000357,EMP00091,Rohan Patel,VND0000003,FIELD,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000301,AGT0000301,EMP00092,Amit Kumar,VND0000011,T3,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000238,AGT0000238,EMP00093,Ananya Rao,VND0000015,FIELD,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000545,AGT0000545,EMP00094,Sneha Das,VND0000008,DIGITAL,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000334,AGT0000334,EMP00095,Rohan Patel,VND0000010,FIELD,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000386,AGT0000386,EMP00096,Amit Kumar,VND0000002,DIGITAL,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000474,AGT0000474,EMP00097,Neha Singh,VND0000003,FIELD,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000200,AGT0000200,EMP00098,Priya Mehta,VND0000002,T2,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000355,AGT0000355,EMP00099,Vikram Shah,VND0000012,T2,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000084,AGT0000084,EMP00100,Vikram Shah,VND0000012,DIGITAL,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000443,AGT0000443,EMP00101,Sneha Das,VND0000007,FIELD,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000924,AGT0000924,EMP00102,Pooja Nair,VND0000014,T3,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000042,AGT0000042,EMP00103,Ananya Rao,VND0000011,T1,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000965,AGT0000965,EMP00104,Rohan Patel,VND0000001,DIGITAL,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000219,AGT0000219,EMP00105,Amit Kumar,VND0000012,T1,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000371,AGT0000371,EMP00106,Vikram Shah,VND0000006,FIELD,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000732,AGT0000732,EMP00107,Sneha Das,VND0000008,T2,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000544,AGT0000544,EMP00108,Pooja Nair,VND0000004,T1,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000555,AGT0000555,EMP00109,Rohan Patel,VND0000013,FIELD,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000725,AGT0000725,EMP00110,Neha Singh,VND0000012,T3,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000586,AGT0000586,EMP00111,Vikram Shah,VND0000001,FIELD,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000213,AGT0000213,EMP00112,Pooja Nair,VND0000003,DIGITAL,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000108,AGT0000108,EMP00113,Priya Mehta,VND0000003,DIGITAL,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000022,AGT0000022,EMP00114,Rahul Verma,VND0000009,T1,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000049,AGT0000049,EMP00115,Sneha Das,VND0000011,DIGITAL,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000057,AGT0000057,EMP00116,Vikram Shah,VND0000015,T1,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000198,AGT0000198,EMP00117,Rohan Patel,VND0000004,DIGITAL,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000891,AGT0000891,EMP00118,Aarav Sharma,VND0000008,T3,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000909,AGT0000909,EMP00119,Pooja Nair,VND0000009,DIGITAL,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000183,AGT0000183,EMP00120,Ananya Rao,VND0000010,FIELD,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000730,AGT0000730,EMP00121,Rohan Patel,VND0000004,DIGITAL,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000940,AGT0000940,EMP00122,Vikram Shah,VND0000009,T1,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000026,AGT0000026,EMP00123,Aarav Sharma,VND0000001,T1,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000372,AGT0000372,EMP00124,Aarav Sharma,VND0000001,T3,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000756,AGT0000756,EMP00125,Vikram Shah,VND0000004,T1,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000829,AGT0000829,EMP00126,Vikram Shah,VND0000012,DIGITAL,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000608,AGT0000608,EMP00127,Amit Kumar,VND0000002,T3,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000641,AGT0000641,EMP00128,Aarav Sharma,VND0000008,T1,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000151,AGT0000151,EMP00129,Sneha Das,VND0000007,DIGITAL,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000513,AGT0000513,EMP00130,Pooja Nair,VND0000002,T1,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000767,AGT0000767,EMP00131,Rahul Verma,VND0000015,FIELD,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000463,AGT0000463,EMP00132,Amit Kumar,VND0000010,T1,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000271,AGT0000271,EMP00133,Amit Kumar,VND0000004,FIELD,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000478,AGT0000478,EMP00134,Rohan Patel,VND0000010,T3,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000538,AGT0000538,EMP00135,Amit Kumar,VND0000013,FIELD,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000826,AGT0000826,EMP00136,Sneha Das,VND0000006,T3,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000335,AGT0000335,EMP00137,Rahul Verma,VND0000006,FIELD,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000553,AGT0000553,EMP00138,Amit Kumar,VND0000004,T2,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000028,AGT0000028,EMP00139,Amit Kumar,VND0000004,FIELD,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000975,AGT0000975,EMP00140,Sneha Das,VND0000013,T1,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000397,AGT0000397,EMP00141,Amit Kumar,VND0000012,T2,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000820,AGT0000820,EMP00142,Rohan Patel,VND0000001,DIGITAL,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000426,AGT0000426,EMP00143,Priya Mehta,VND0000005,T1,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000347,AGT0000347,EMP00144,Sneha Das,VND0000004,T3,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000207,AGT0000207,EMP00145,Pooja Nair,VND0000009,T3,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000400,AGT0000400,EMP00146,Rohan Patel,VND0000005,T3,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000920,AGT0000920,EMP00147,Vikram Shah,VND0000002,T3,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000544,AGT0000544,EMP00148,Amit Kumar,VND0000004,T3,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000612,AGT0000612,EMP00149,Vikram Shah,VND0000009,T3,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000412,AGT0000412,EMP00150,Ananya Rao,VND0000014,T3,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000198,AGT0000198,EMP00151,Sneha Das,VND0000004,T2,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000197,AGT0000197,EMP00152,Amit Kumar,VND0000007,T2,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000544,AGT0000544,EMP00153,Sneha Das,VND0000002,T1,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000376,AGT0000376,EMP00154,Pooja Nair,VND0000003,T3,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000130,AGT0000130,EMP00155,Priya Mehta,VND0000010,T2,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000594,AGT0000594,EMP00156,Amit Kumar,VND0000009,FIELD,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000364,AGT0000364,EMP00157,Neha Singh,VND0000004,T1,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000475,AGT0000475,EMP00158,Amit Kumar,VND0000006,T1,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000790,AGT0000790,EMP00159,Aarav Sharma,VND0000013,T1,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000689,AGT0000689,EMP00160,Priya Mehta,VND0000003,T1,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000711,AGT0000711,EMP00161,Sneha Das,VND0000007,T1,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000139,AGT0000139,EMP00162,Rohan Patel,VND0000004,T3,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000818,AGT0000818,EMP00163,Aarav Sharma,VND0000008,FIELD,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000325,AGT0000325,EMP00164,Amit Kumar,VND0000012,T3,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000526,AGT0000526,EMP00165,Rahul Verma,VND0000011,T1,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000694,AGT0000694,EMP00166,Neha Singh,VND0000006,DIGITAL,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000788,AGT0000788,EMP00167,Rohan Patel,VND0000008,T1,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000758,AGT0000758,EMP00168,Vikram Shah,VND0000003,T2,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000487,AGT0000487,EMP00169,Sneha Das,VND0000004,FIELD,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000407,AGT0000407,EMP00170,Sneha Das,VND0000001,FIELD,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000203,AGT0000203,EMP00171,Pooja Nair,VND0000007,FIELD,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000951,AGT0000951,EMP00172,Aarav Sharma,VND0000003,DIGITAL,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000331,AGT0000331,EMP00173,Neha Singh,VND0000002,T1,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000554,AGT0000554,EMP00174,Aarav Sharma,VND0000012,FIELD,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000666,AGT0000666,EMP00175,Sneha Das,VND0000011,T1,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000827,AGT0000827,EMP00176,Aarav Sharma,VND0000009,T2,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000141,AGT0000141,EMP00177,Priya Mehta,VND0000008,DIGITAL,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000406,AGT0000406,EMP00178,Pooja Nair,VND0000013,FIELD,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000307,AGT0000307,EMP00179,Sneha Das,VND0000006,FIELD,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000156,AGT0000156,EMP00180,Aarav Sharma,VND0000015,FIELD,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000001,AGT0000001,EMP00181,Aarav Sharma,VND0000014,T1,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000759,AGT0000759,EMP00182,Priya Mehta,VND0000004,T2,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000959,AGT0000959,EMP00183,Neha Singh,VND0000003,T2,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000322,AGT0000322,EMP00184,Aarav Sharma,VND0000012,DIGITAL,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000031,AGT0000031,EMP00185,Priya Mehta,VND0000012,T1,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000105,AGT0000105,EMP00186,Priya Mehta,VND0000006,T1,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000817,AGT0000817,EMP00187,Aarav Sharma,VND0000003,DIGITAL,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000691,AGT0000691,EMP00188,Priya Mehta,VND0000006,DIGITAL,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000941,AGT0000941,EMP00189,Rohan Patel,VND0000004,FIELD,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000360,AGT0000360,EMP00190,Amit Kumar,VND0000001,T1,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000263,AGT0000263,EMP00191,Priya Mehta,VND0000010,DIGITAL,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000146,AGT0000146,EMP00192,Sneha Das,VND0000003,T1,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000325,AGT0000325,EMP00193,Rohan Patel,VND0000010,T3,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000843,AGT0000843,EMP00194,Ananya Rao,VND0000004,FIELD,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000890,AGT0000890,EMP00195,Vikram Shah,VND0000009,T2,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000378,AGT0000378,EMP00196,Rahul Verma,VND0000012,FIELD,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000250,AGT0000250,EMP00197,Ananya Rao,VND0000002,T2,ACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000356,AGT0000356,EMP00198,Vikram Shah,VND0000015,T1,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000848,AGT0000848,EMP00199,Amit Kumar,VND0000009,T2,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000900,AGT0000900,EMP00200,Neha Singh,VND0000005,T2,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
AGT0000457,AGT0000457,EMP00201,Sneha Das,VND0000009,T2,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000812,AGT0000812,EMP00202,Ananya Rao,VND0000004,T3,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000064,AGT0000064,EMP00203,Sneha Das,VND0000008,T1,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000508,AGT0000508,EMP00204,Rohan Patel,VND0000014,FIELD,INACTIVE,0.95,Deterministic employee_code & latest timestamp match
AGT0000582,AGT0000582,EMP00205,Rahul Verma,VND0000002,T2,SUSPENDED,0.95,Deterministic employee_code & latest timestamp match
